SimID;Strategy;Strategy Label;Total Output;End WIP;Avg Cycle Time
456;original;Base Game;61;58;14,6
457;original;Base Game;52;55;15,12
458;original;Base Game;53;71;15,35
459;original;Base Game;52;52;15,69
460;original;Base Game;57;38;14,05
461;original;Base Game;56;37;15,1
462;original;Base Game;52;60;14,94
463;original;Base Game;55;66;15,84
464;original;Base Game;56;41;13,6
465;original;Base Game;52;62;15,75
466;original;Base Game;53;57;13,06
467;original;Base Game;56;53;15,9
468;original;Base Game;55;51;15,05
469;original;Base Game;46;59;18,3
470;original;Base Game;52;53;15,81
471;original;Base Game;51;58;16,07
472;original;Base Game;54;46;13,83
473;original;Base Game;55;58;14,84
474;original;Base Game;56;55;13,4
475;original;Base Game;56;51;15,35
476;original;Base Game;54;46;16,44
477;original;Base Game;54;47;14,06
478;original;Base Game;51;61;16,2
479;original;Base Game;51;65;15,93
480;original;Base Game;50;60;15,14
481;original;Base Game;52;61;15
482;original;Base Game;53;45;14,06
483;original;Base Game;55;62;16,32
484;original;Base Game;56;52;15,3
485;original;Base Game;52;50;15,06
486;original;Base Game;45;69;17
487;original;Base Game;51;51;16,27
488;original;Base Game;53;57;15,41
489;original;Base Game;51;65;15
490;original;Base Game;54;58;14,39
491;original;Base Game;47;55;17,09
492;original;Base Game;55;41;13,32
493;original;Base Game;55;48;13,42
494;original;Base Game;49;42;16,23
495;original;Base Game;47;57;16,27
496;original;Base Game;54;50;14,22
497;original;Base Game;57;55;15
498;original;Base Game;57;52;14,71
499;original;Base Game;61;49;14,16
500;original;Base Game;53;54;14,71
501;original;Base Game;52;53;14,06
502;original;Base Game;57;56;12,19
503;original;Base Game;56;56;14,3
504;original;Base Game;59;50;13,26
505;original;Base Game;51;50;16,93
506;original;Base Game;53;62;14,41
507;original;Base Game;52;54;14,81
508;original;Base Game;48;61;16,08
509;original;Base Game;46;55;16,6
510;original;Base Game;48;60;17,17
511;original;Base Game;50;66;16,21
512;original;Base Game;50;56;16,79
513;original;Base Game;57;42;13,81
514;original;Base Game;53;52;14,82
